"train/epoch","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - _step","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - _step__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - _step__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - train/loss","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - train/loss__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_ - train/loss__MAX","roberta-base_S3&A_0_r4_drop0.1_+0_ - _step","roberta-base_S3&A_0_r4_drop0.1_+0_ - _step__MIN","roberta-base_S3&A_0_r4_drop0.1_+0_ - _step__MAX","roberta-base_S3&A_0_r4_drop0.1_+0_ - train/loss","roberta-base_S3&A_0_r4_drop0.1_+0_ - train/loss__MIN","roberta-base_S3&A_0_r4_drop0.1_+0_ - train/loss__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - _step","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - _step__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - _step__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - train/loss","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - train/loss__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.75 - train/loss__MAX","roberta-base_A&Q_0_r4_drop0.1_+0_ - _step","roberta-base_A&Q_0_r4_drop0.1_+0_ - _step__MIN","roberta-base_A&Q_0_r4_drop0.1_+0_ - _step__MAX","roberta-base_A&Q_0_r4_drop0.1_+0_ - train/loss","roberta-base_A&Q_0_r4_drop0.1_+0_ - train/loss__MIN","roberta-base_A&Q_0_r4_drop0.1_+0_ - train/loss__MAX","roberta-base_A&Q_3_r4_drop0.1_+3_ - _step","roberta-base_A&Q_3_r4_drop0.1_+3_ - _step__MIN","roberta-base_A&Q_3_r4_drop0.1_+3_ - _step__MAX","roberta-base_A&Q_3_r4_drop0.1_+3_ - train/loss","roberta-base_A&Q_3_r4_drop0.1_+3_ - train/loss__MIN","roberta-base_A&Q_3_r4_drop0.1_+3_ - train/loss__MAX","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - _step","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - _step__MIN","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - _step__MAX","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - train/loss","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - train/loss__MIN","google/gemma-2b_A&Q_0_r4_drop0.1_+0_ - train/loss__MAX","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step__MIN","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step__MAX","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss__MIN","google/gemma-2b_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - _step","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - _step__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - _step__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - train/loss","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - train/loss__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.5 - train/loss__MAX","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - _step","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - _step__MIN","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - _step__MAX","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - train/loss","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - train/loss__MIN","distilbert-base-uncased_A&Q_0_r4_drop0.1_+0_ - train/loss__MAX","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step__MIN","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - _step__MAX","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss__MIN","distilbert-base-uncased_S3&A&Q_0_r4_drop0.1_+0_size1.0 - train/loss__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - _step","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - _step__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - _step__MAX","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - train/loss","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - train/loss__MIN","roberta-base_S3&A&Q_0_r4_drop0.1_+0_size0.25 - train/loss__MAX"
"0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.6549","0.6549","0.6549","0","0","0","0.624","0.624","0.624","","","","","","","","","","","","","","","","","","","","","","","",""
"0.29","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.5119","0.5119","0.5119","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.5305","0.5305","0.5305","1","1","1","0.5537","0.5537","0.5537","","","","","","","","","","","","","","","","","","","","","","","",""
"0.4","0","0","0","0.5989","0.5989","0.5989","0","0","0","0.5881","0.5881","0.5881","","","","","","","0","0","0","0.5932","0.5932","0.5932","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.5688","0.5688","0.5688","0","0","0","0.5624","0.5624","0.5624","","","","","",""
"0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","0.6343","0.6343","0.6343","2","2","2","0.5651","0.5651","0.5651","","","","","","","","","","","","","","","","","","","","","","","",""
"0.58","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.4826","0.4826","0.4826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","0.5907","0.5907","0.5907","3","3","3","0.5453","0.5453","0.5453","","","","","","","","","","","","","","","","","","","","","","","",""
"0.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","0.6705","0.6705","0.6705","4","4","4","0.538","0.538","0.538","","","","","","","","","","","","","","","","","","","","","","","",""
"0.81","1","1","1","0.5662","0.5662","0.5662","1","1","1","0.5593","0.5593","0.5593","","","","","","","1","1","1","0.574","0.574","0.574","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.4953","0.4953","0.4953","1","1","1","0.5305","0.5305","0.5305","","","","","",""
"0.87","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","0.3939","0.3939","0.3939","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","0.5678","0.5678","0.5678","5","5","5","0.5242","0.5242","0.5242","","","","","","","","","","","","","","","","","","","","","","","",""
"1.05","","","","","","","","","","","","","1","1","1","0.5867","0.5867","0.5867","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","0.6134","0.6134","0.6134","7","7","7","0.5309","0.5309","0.5309","","","","","","","","","","","","","","","","","","","","","","","",""
"1.16","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","0.3075","0.3075","0.3075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.21","3","3","3","0.4963","0.4963","0.4963","3","3","3","0.4937","0.4937","0.4937","","","","","","","3","3","3","0.4467","0.4467","0.4467","","","","","","","8","8","8","0.5859","0.5859","0.5859","8","8","8","0.5798","0.5798","0.5798","","","","","","","3","3","3","0.4409","0.4409","0.4409","3","3","3","0.5032","0.5032","0.5032","","","","","",""
"1.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","0.6142","0.6142","0.6142","9","9","9","0.508","0.508","0.508","","","","","","","","","","","","","","","","","","","","","","","",""
"1.45","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","0.2911","0.2911","0.2911","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","0.5392","0.5392","0.5392","10","10","10","0.5682","0.5682","0.5682","","","","","","","","","","","","","","","","","","","","","","","",""
"1.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0.5822","0.5822","0.5822","","","","","","","","","","","","","","","","","",""
"1.61","4","4","4","0.4467","0.4467","0.4467","4","4","4","0.4463","0.4463","0.4463","","","","","","","4","4","4","0.385","0.385","0.385","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","0.4349","0.4349","0.4349","4","4","4","0.4975","0.4975","0.4975","","","","","",""
"1.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","0.5414","0.5414","0.5414","11","11","11","0.5358","0.5358","0.5358","","","","","","","","","","","","","","","","","","","","","","","",""
"1.75","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","0.305","0.305","0.305","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12","12","0.4889","0.4889","0.4889","12","12","12","0.5259","0.5259","0.5259","","","","","","","","","","","","","","","","","","","","","","","",""
"1.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","13","13","0.5287","0.5287","0.5287","13","13","13","0.5214","0.5214","0.5214","","","","","","","","","","","","","","","","","","","","","","","",""
